group_name,entity_name,entity_type,inn,is_priority_focus,eis_search_term,roseltorg_customer_query,candidate_count,resolved_inn,eis_entity_code,eis_entity_name,eis_resolved_inn,eis_resolved_kpp,eis_resolved_ogrn,eis_fz94id,eis_fz223id,eis_223_open_count,eis_results_url,roseltorg_lot_count,sberbank_ast_candidate_count,sberbank_ast_lot_count,zakazrf_candidate_count,zakazrf_lot_count,lot_online_lot_count,lot_online_title_mention_count
Sber Group,ООО Сбербанк-Телеком,telecom,7736264044,True,Сбербанк-Телеком,СБЕРБАНК-ТЕЛЕКОМ,0,7736264044,,,,,,,,0,,15,2,251,0,0,0,15
Sber Group,АО НПФ Сбербанка,pension,,False,НПФ Сбербанка,НПФ СБЕРБАНКА,1,7725352740,7725352740_772501001_1147799009160,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕГОСУДАРСТВЕННЫЙ ПЕНСИОННЫЙ ФОНД СБЕРБАНКА""",7725352740,772501001,1147799009160,,7725352740_772501001_1147799009160,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7725352740_772501001_1147799009160%3A%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%9D%D0%95%D0%93%D0%9E%D0%A1%D0%A3%D0%94%D0%90%D0%A0%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%AB%D0%99+%D0%9F%D0%95%D0%9D%D0%A1%D0%98%D0%9E%D0%9D%D0%9D%D0%AB%D0%99+%D0%A4%D0%9E%D0%9D%D0%94+%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A%D0%90%22zZ7725352740_772501001_1147799009160zZzZ7725352740_772501001_1147799009160zZ7725352740zZ-1zZ772501001zZ1147799009160&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,0,0,0,0,20
Sber Group,АО Сбербанк Лизинг,leasing,7707009586,False,Сбербанк Лизинг,СБЕРБАНК ЛИЗИНГ,1,7707009586,7707009586_503201001_1027739000728,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",7707009586,503201001,1027739000728,,7707009586_503201001_1027739000728,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7707009586_503201001_1027739000728%3A%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%9B%D0%98%D0%97%D0%98%D0%9D%D0%93%22zZ7707009586_503201001_1027739000728zZzZ7707009586_503201001_1027739000728zZ7707009586zZ-1zZ503201001zZ1027739000728&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,197,0,0,0,20
Sber Group,АО Сбербанк Управление Активами,asset_management,,False,Сбербанк Управление Активами,СБЕРБАНК УПРАВЛЕНИЕ АКТИВАМИ,0,,,,,,,,,0,,0,0,0,0,0,0,0
Sber Group,АО Сбербанк-АСТ,etp,7707308480,False,Сбербанк-АСТ,СБЕРБАНК-АСТ,1,7707308480,07730000042,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",7707308480,770401001,1027707000441,07730000042,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=07730000042%3A%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A-%D0%90%D0%92%D0%A2%D0%9E%D0%9C%D0%90%D0%A2%D0%98%D0%97%D0%98%D0%A0%D0%9E%D0%92%D0%90%D0%9D%D0%9D%D0%90%D0%AF+%D0%A1%D0%98%D0%A1%D0%A2%D0%95%D0%9C%D0%90+%D0%A2%D0%9E%D0%A0%D0%93%D0%9E%D0%92%22zZ07730000042zZ07730000042zZzZ7707308480zZ-1zZ770401001zZ1027707000441&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,2,25,1,0,0,20
Sber Group,ООО Домклик,real_estate,,False,Домклик,ДОМКЛИК,1,7736249247,12007000072,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМКЛИК""",7736249247,773001001,1157746652150,12007000072,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=12007000072%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%94%D0%9E%D0%9C%D0%9A%D0%9B%D0%98%D0%9A%22zZ12007000072zZ12007000072zZzZ7736249247zZ-1zZ773001001zZ1157746652150&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,37,1,0,0,0
Sber Group,ООО ЕАПТЕКА,pharma,,False,ЕАПТЕКА,ЕАПТЕКА,0,,,,,,,,,0,,578,1,48,0,0,0,0
Sber Group,ООО Купер,ecommerce,,False,Купер,КУПЕР,0,,,,,,,,,0,,0,15,0,0,0,0,0
Sber Group,ООО СК Сбербанк Страхование,insurance,,False,Сбербанк Страхование,СБЕРБАНК СТРАХОВАНИЕ,2,7744002123,7744002123_773001001_1037700051146,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,1037700051146,,7744002123_773001001_1037700051146,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7744002123_773001001_1037700051146%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%AF+%D0%9A%D0%9E%D0%9C%D0%9F%D0%90%D0%9D%D0%98%D0%AF+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%9D%D0%98%D0%95+%D0%96%D0%98%D0%97%D0%9D%D0%98%22zZ7744002123_773001001_1037700051146zZzZ7744002123_773001001_1037700051146zZ7744002123zZ-1zZ773001001zZ1037700051146&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,0,0,0,0,20
Sber Group,ООО СК Сбербанк Страхование Жизни,insurance,7744002123,False,Сбербанк Страхование Жизни,СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,1,7744002123,7744002123_773001001_1037700051146,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,1037700051146,,7744002123_773001001_1037700051146,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7744002123_773001001_1037700051146%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%AF+%D0%9A%D0%9E%D0%9C%D0%9F%D0%90%D0%9D%D0%98%D0%AF+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%90%D0%9D%D0%98%D0%95+%D0%96%D0%98%D0%97%D0%9D%D0%98%22zZ7744002123_773001001_1037700051146zZzZ7744002123_773001001_1037700051146zZ7744002123zZ-1zZ773001001zZ1037700051146&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,21,0,0,0,20
Sber Group,ООО СберАвто,auto,,False,СберАвто,СБЕРАВТО,0,,,,,,,,,0,,0,1,62,0,0,0,0
Sber Group,ООО СберБизнесСофт,software,,False,СберБизнесСофт,СБЕРБИЗНЕССОФТ,0,,,,,,,,,0,,0,0,0,0,0,0,0
Sber Group,ООО СберЗдоровье,healthtech,,False,СберЗдоровье,СБЕРЗДОРОВЬЕ,0,,,,,,,,,0,,0,0,0,0,0,0,0
Sber Group,ООО СберЛогистика,logistics,,False,СберЛогистика,СБЕРЛОГИСТИКА,0,,,,,,,,,0,,0,3,0,0,0,0,0
Sber Group,ООО СберМаркет,ecommerce,,False,СберМаркет,СБЕРМАРКЕТ,0,,,,,,,,,0,,0,0,0,0,0,0,0
Sber Group,ООО СберМобайл,telecom,,False,СберМобайл,СБЕРМОБАЙЛ,0,,,,,,,,,0,,0,0,0,0,0,0,0
Sber Group,ООО СберОбразование,edtech,,False,СберОбразование,СБЕРОБРАЗОВАНИЕ,0,,,,,,,,,0,,0,1,113,0,0,0,0
Sber Group,ООО СберРешения,bpo,,False,СберРешения,СБЕРРЕШЕНИЯ,0,,,,,,,,,0,,0,0,0,0,0,0,0
Sber Group,ООО СберТех,it,,False,СберТех,СБЕРТЕХ,1,7736632467,7736632467_772601001_1117746533926,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",7736632467,772601001,1117746533926,,7736632467_772601001_1117746533926,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7736632467_772601001_1117746533926%3A%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+-+%D0%A2%D0%95%D0%A5%D0%9D%D0%9E%D0%9B%D0%9E%D0%93%D0%98%D0%98%22zZ7736632467_772601001_1117746533926zZzZ7736632467_772601001_1117746533926zZ7736632467zZ-1zZ772601001zZ1117746533926&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,82,0,0,0,20
Sber Group,ООО Сбербанк Капитал,investment,7736581290,False,Сбербанк Капитал,СБЕРБАНК КАПИТАЛ,1,7736581290,7736581290_773601001_1087746887678,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК КАПИТАЛ""",7736581290,773601001,1087746887678,,7736581290_773601001_1087746887678,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7736581290_773601001_1087746887678%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%9A%D0%90%D0%9F%D0%98%D0%A2%D0%90%D0%9B%22zZ7736581290_773601001_1087746887678zZzZ7736581290_773601001_1087746887678zZ7736581290zZ-1zZ773601001zZ1087746887678&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,1,0,0,0,20
Sber Group,ООО Сбербанк Факторинг,factoring,7802754982,False,Сбербанк Факторинг,СБЕРБАНК ФАКТОРИНГ,1,7802754982,7802754982_771401001_1117847260794,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""",7802754982,771401001,1117847260794,,7802754982_771401001_1117847260794,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7802754982_771401001_1117847260794%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A4%D0%90%D0%9A%D0%A2%D0%9E%D0%A0%D0%98%D0%9D%D0%93%22zZ7802754982_771401001_1117847260794zZzZ7802754982_771401001_1117847260794zZ7802754982zZ-1zZ771401001zZ1117847260794&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,2,18,0,0,0,7
Sber Group,ООО Сбербанк-Технологии.Нойдорф,it,7819315503,False,Сбербанк-Технологии,СБЕРБАНК-ТЕХНОЛОГИИ,2,7819315503,7819315503_781901001_1127847169680,"Общество с ограниченной ответственностью ""Сбербанк-Технологии.Нойдорф""",7819315503,781901001,1127847169680,,7819315503_781901001_1127847169680,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=7819315503_781901001_1127847169680%3A%D0%9E%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BE+%D1%81+%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9+%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C%D1%8E+%22%D0%A1%D0%B1%D0%B5%D1%80%D0%B1%D0%B0%D0%BD%D0%BA-%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8.%D0%9D%D0%BE%D0%B9%D0%B4%D0%BE%D1%80%D1%84%22zZ7819315503_781901001_1127847169680zZzZ7819315503_781901001_1127847169680zZ7819315503zZ-1zZ781901001zZ1127847169680&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,1,0,0,0,0,20
Sber Group,ООО Страховой брокер Сбербанка,broker,7706810730,False,Страховой брокер Сбербанка,СТРАХОВОЙ БРОКЕР СБЕРБАНКА,1,7706810730,12007001449,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,201401001,1147746683468,12007001449,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=12007001449%3A%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%D0%A1+%D0%9E%D0%93%D0%A0%D0%90%D0%9D%D0%98%D0%A7%D0%95%D0%9D%D0%9D%D0%9E%D0%99+%D0%9E%D0%A2%D0%92%D0%95%D0%A2%D0%A1%D0%A2%D0%92%D0%95%D0%9D%D0%9D%D0%9E%D0%A1%D0%A2%D0%AC%D0%AE+%22%D0%A1%D0%A2%D0%A0%D0%90%D0%A5%D0%9E%D0%92%D0%9E%D0%99+%D0%91%D0%A0%D0%9E%D0%9A%D0%95%D0%A0+%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A%D0%90%22zZ12007001449zZ12007001449zZzZ7706810730zZ-1zZ201401001zZ1147746683468&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,2,29,1,0,0,20
Sber Group,ПАО Сбербанк России,bank,7707083893,False,Сбербанк,СБЕРБАНК РОССИИ,10,7707083893,18950000008,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,1027700132195,18950000008,,0,https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=&morphology=on&sortBy=UPDATE_DATE&recordsPerPage=_10&showLotsInfoHidden=false&fz223=on&customerIdOrg=18950000008%3A%D0%9F%D0%A3%D0%91%D0%9B%D0%98%D0%A7%D0%9D%D0%9E%D0%95+%D0%90%D0%9A%D0%A6%D0%98%D0%9E%D0%9D%D0%95%D0%A0%D0%9D%D0%9E%D0%95+%D0%9E%D0%91%D0%A9%D0%95%D0%A1%D0%A2%D0%92%D0%9E+%22%D0%A1%D0%91%D0%95%D0%A0%D0%91%D0%90%D0%9D%D0%9A+%D0%A0%D0%9E%D0%A1%D0%A1%D0%98%D0%98%22zZ18950000008zZ18950000008zZzZ7707083893zZ-1zZ773601001zZ1027700132195&publishDateFrom=01.01.2024&publishDateTo=31.12.2025,0,37,56,3,0,0,6
